prob_id = 1001577 | rtt = 262.558 | hop = 18 | timestamp = 1701751285
prob_id = 24300 | rtt = 191.877 | hop = 15 | timestamp = 1701758484
prob_id = 24944 | rtt = 234.548 | hop = 15 | timestamp = 1701758489
prob_id = 3200 | rtt = 50.78 | hop = 14 | timestamp = 1701758480
prob_id = 32810 | rtt = 255.806 | hop = 18 | timestamp = 1701758476
prob_id = 33230 | rtt = 174.886 | hop = 10 | timestamp = 1701758488
prob_id = 33690 | rtt = 149.196 | hop = 13 | timestamp = 1701758485
prob_id = 50525 | rtt = 234.462 | hop = 11 | timestamp = 1701758478
prob_id = 50593 | rtt = 68.737 | hop = 16 | timestamp = 1701758487
prob_id = 51527 | rtt = 176.461 | hop = 13 | timestamp = 1701758482
prob_id = 53022 | rtt = 104.526 | hop = 17 | timestamp = 1701758487
prob_id = 53613 | rtt = 300.08 | hop = 16 | timestamp = 1701758486
prob_id = 55234 | rtt = 135.163 | hop = 17 | timestamp = 1701758484
prob_id = 60374 | rtt = 123.634 | hop = 12 | timestamp = 1701758477
prob_id = 60579 | rtt = 39.472 | hop = 13 | timestamp = 1701758476
prob_id = 60900 | rtt = 145.129 | hop = 18 | timestamp = 1701758475
prob_id = 61177 | rtt = 140.33 | hop = 9 | timestamp = 1701758478
prob_id = 62657 | rtt = 62.688 | hop = 15 | timestamp = 1701758489
prob_id = 1001577 | rtt = 268.074 | hop = 18 | timestamp = 1701762086
prob_id = 1002617 | rtt = 149.766 | hop = 14 | timestamp = 1701762084
prob_id = 1003564 | rtt = 138.254 | hop = 13 | timestamp = 1701762077
prob_id = 1003619 | rtt = 229.886 | hop = 15 | timestamp = 1701762086
prob_id = 1004568 | rtt = 231.215 | hop = 14 | timestamp = 1701762083
prob_id = 1005715 | rtt = 164.95 | hop = 19 | timestamp = 1701762081
prob_id = 1005758 | rtt = 114.754 | hop = 18 | timestamp = 1701762078
prob_id = 1006471 | rtt = 126.535 | hop = 19 | timestamp = 1701762080
prob_id = 1006691 | rtt = 151.46 | hop = 19 | timestamp = 1701762084
prob_id = 14015 | rtt = 170.994 | hop = 13 | timestamp = 1701762081
prob_id = 14842 | rtt = 134.832 | hop = 13 | timestamp = 1701762081
prob_id = 24300 | rtt = 190.856 | hop = 15 | timestamp = 1701762084
prob_id = 24944 | rtt = 234.674 | hop = 15 | timestamp = 1701762087
prob_id = 3200 | rtt = 51.398 | hop = 14 | timestamp = 1701762077
prob_id = 32810 | rtt = 255.575 | hop = 18 | timestamp = 1701762089
prob_id = 33230 | rtt = 174.543 | hop = 10 | timestamp = 1701762080
prob_id = 33690 | rtt = 148.933 | hop = 13 | timestamp = 1701762088
prob_id = 50525 | rtt = 235.358 | hop = 11 | timestamp = 1701762086
prob_id = 50593 | rtt = 68.283 | hop = 16 | timestamp = 1701762083
prob_id = 51527 | rtt = 176.764 | hop = 13 | timestamp = 1701762077
prob_id = 53022 | rtt = 103.093 | hop = 17 | timestamp = 1701762079
prob_id = 53613 | rtt = 293.829 | hop = 16 | timestamp = 1701762078
prob_id = 55234 | rtt = 135.128 | hop = 17 | timestamp = 1701762079
prob_id = 60374 | rtt = 124.112 | hop = 12 | timestamp = 1701762084
prob_id = 60579 | rtt = 40.799 | hop = 12 | timestamp = 1701762075
prob_id = 60900 | rtt = 150.801 | hop = 18 | timestamp = 1701762083
prob_id = 61177 | rtt = 140.103 | hop = 9 | timestamp = 1701762079
prob_id = 62657 | rtt = 64.611 | hop = 15 | timestamp = 1701762084
prob_id = 1001577 | rtt = 270.229 | hop = 255 | timestamp = 1701765681
prob_id = 1002617 | rtt = 148.685 | hop = 14 | timestamp = 1701765683
prob_id = 1003564 | rtt = 138.279 | hop = 13 | timestamp = 1701765687
prob_id = 1003619 | rtt = 230.434 | hop = 15 | timestamp = 1701765690
prob_id = 1004568 | rtt = 233.743 | hop = 14 | timestamp = 1701765682
prob_id = 1005715 | rtt = 165.106 | hop = 19 | timestamp = 1701765688
prob_id = 1005758 | rtt = 114.78 | hop = 17 | timestamp = 1701765685
prob_id = 1006471 | rtt = 120.973 | hop = 19 | timestamp = 1701765690
prob_id = 1006691 | rtt = 147.932 | hop = 19 | timestamp = 1701765675
prob_id = 14015 | rtt = 172.903 | hop = 17 | timestamp = 1701765679
prob_id = 14842 | rtt = 134.728 | hop = 13 | timestamp = 1701765687
prob_id = 24300 | rtt = 191.09 | hop = 15 | timestamp = 1701765689
prob_id = 24944 | rtt = 234.087 | hop = 15 | timestamp = 1701765688
prob_id = 3200 | rtt = 51.164 | hop = 14 | timestamp = 1701765682
prob_id = 32810 | rtt = 254.424 | hop = 18 | timestamp = 1701765678
prob_id = 33230 | rtt = 174.621 | hop = 10 | timestamp = 1701765672
prob_id = 33690 | rtt = 148.609 | hop = 13 | timestamp = 1701765694
prob_id = 50525 | rtt = 232.832 | hop = 11 | timestamp = 1701765686
prob_id = 50593 | rtt = 69.417 | hop = 16 | timestamp = 1701765680
prob_id = 53022 | rtt = 105.279 | hop = 17 | timestamp = 1701765686
prob_id = 53613 | rtt = 292.282 | hop = 16 | timestamp = 1701765684
prob_id = 55234 | rtt = 135.273 | hop = 17 | timestamp = 1701765681
prob_id = 60374 | rtt = 123.854 | hop = 12 | timestamp = 1701765678
prob_id = 60579 | rtt = 38.212 | hop = 13 | timestamp = 1701765675
prob_id = 60900 | rtt = 149.956 | hop = 18 | timestamp = 1701765675
prob_id = 61177 | rtt = 138.208 | hop = 9 | timestamp = 1701765682
prob_id = 62657 | rtt = 63.47 | hop = 15 | timestamp = 1701765682
prob_id = 1001577 | rtt = 271.992 | hop = 18 | timestamp = 1701769287
prob_id = 1002617 | rtt = 147.416 | hop = 14 | timestamp = 1701769277
prob_id = 1003564 | rtt = 136.675 | hop = 13 | timestamp = 1701769287
prob_id = 1003619 | rtt = 231.682 | hop = 16 | timestamp = 1701769280
prob_id = 1004568 | rtt = 231.897 | hop = 15 | timestamp = 1701769283
prob_id = 1005715 | rtt = 164.976 | hop = 16 | timestamp = 1701769284
prob_id = 1005758 | rtt = 114.981 | hop = 19 | timestamp = 1701769278
prob_id = 1006471 | rtt = 120.586 | hop = 19 | timestamp = 1701769280
prob_id = 1006691 | rtt = 155.348 | hop = 18 | timestamp = 1701769277
prob_id = 14015 | rtt = 170.443 | hop = 14 | timestamp = 1701769277
prob_id = 14842 | rtt = 138.815 | hop = 18 | timestamp = 1701769279
prob_id = 24300 | rtt = 190.922 | hop = 15 | timestamp = 1701769282
prob_id = 24944 | rtt = 234.324 | hop = 15 | timestamp = 1701769275
prob_id = 3200 | rtt = 50.793 | hop = 13 | timestamp = 1701769280
prob_id = 32810 | rtt = 323.002 | hop = 18 | timestamp = 1701769284
prob_id = 33230 | rtt = 176.343 | hop = 11 | timestamp = 1701769286
prob_id = 33690 | rtt = 148.133 | hop = 13 | timestamp = 1701769290
prob_id = 50525 | rtt = 237.197 | hop = 11 | timestamp = 1701769278
prob_id = 50593 | rtt = 69.274 | hop = 16 | timestamp = 1701769283
prob_id = 51527 | rtt = 176.72 | hop = 13 | timestamp = 1701769277
prob_id = 53022 | rtt = 103.253 | hop = 16 | timestamp = 1701769280
prob_id = 53613 | rtt = 268.35 | hop = 15 | timestamp = 1701769276
prob_id = 55234 | rtt = 135.034 | hop = 16 | timestamp = 1701769289
prob_id = 60374 | rtt = 123.597 | hop = 12 | timestamp = 1701769286
prob_id = 60579 | rtt = 38.174 | hop = 14 | timestamp = 1701769280
prob_id = 60900 | rtt = 149.938 | hop = 17 | timestamp = 1701769276
prob_id = 61177 | rtt = 138.05 | hop = 9 | timestamp = 1701769285
prob_id = 62657 | rtt = 64.458 | hop = 15 | timestamp = 1701769287
prob_id = 1001577 | rtt = 271.502 | hop = 18 | timestamp = 1701772880
prob_id = 1002617 | rtt = 146.465 | hop = 14 | timestamp = 1701772885
prob_id = 1003564 | rtt = 137.156 | hop = 13 | timestamp = 1701772887
prob_id = 1003619 | rtt = 230.302 | hop = 16 | timestamp = 1701772881
prob_id = 1004568 | rtt = 231.787 | hop = 15 | timestamp = 1701772877
prob_id = 1005715 | rtt = 164.988 | hop = 16 | timestamp = 1701772879
prob_id = 1005758 | rtt = 114.772 | hop = 19 | timestamp = 1701772884
prob_id = 1006471 | rtt = 118.877 | hop = 19 | timestamp = 1701772886
prob_id = 1006691 | rtt = 150.893 | hop = 18 | timestamp = 1701772877
prob_id = 14015 | rtt = 172.928 | hop = 16 | timestamp = 1701772876
prob_id = 14842 | rtt = 141.742 | hop = 19 | timestamp = 1701772876
prob_id = 24300 | rtt = 192.125 | hop = 16 | timestamp = 1701772875
prob_id = 24944 | rtt = 234.094 | hop = 15 | timestamp = 1701772883
prob_id = 3200 | rtt = 50.285 | hop = 13 | timestamp = 1701772882
prob_id = 32810 | rtt = 428.898 | hop = 18 | timestamp = 1701772883
prob_id = 33230 | rtt = 174.34 | hop = 10 | timestamp = 1701772878
prob_id = 33690 | rtt = 148.599 | hop = 13 | timestamp = 1701772881
prob_id = 50525 | rtt = 241.661 | hop = 11 | timestamp = 1701772886
prob_id = 50593 | rtt = 67.888 | hop = 16 | timestamp = 1701772889
prob_id = 51527 | rtt = 176.633 | hop = 13 | timestamp = 1701772889
prob_id = 53022 | rtt = 104.168 | hop = 17 | timestamp = 1701772886
prob_id = 53613 | rtt = 297.598 | hop = 15 | timestamp = 1701772879
prob_id = 55234 | rtt = 135.177 | hop = 16 | timestamp = 1701772883
prob_id = 60374 | rtt = 124.266 | hop = 12 | timestamp = 1701772887
prob_id = 60579 | rtt = 37.699 | hop = 14 | timestamp = 1701772875
prob_id = 60900 | rtt = 150.16 | hop = 17 | timestamp = 1701772883
prob_id = 61177 | rtt = 138.029 | hop = 9 | timestamp = 1701772889
prob_id = 62657 | rtt = 63.713 | hop = 15 | timestamp = 1701772875
prob_id = 1001577 | rtt = 269.013 | hop = 18 | timestamp = 1701776478
prob_id = 1002617 | rtt = 147.335 | hop = 14 | timestamp = 1701776488
prob_id = 1003564 | rtt = 138.206 | hop = 13 | timestamp = 1701776477
prob_id = 1003619 | rtt = 227.432 | hop = 15 | timestamp = 1701776489
prob_id = 1004568 | rtt = 237.251 | hop = 14 | timestamp = 1701776485
prob_id = 1005715 | rtt = 164.888 | hop = 16 | timestamp = 1701776488
prob_id = 1005758 | rtt = 114.917 | hop = 18 | timestamp = 1701776486
prob_id = 1006471 | rtt = 117.583 | hop = 18 | timestamp = 1701776488
prob_id = 1006691 | rtt = 150.728 | hop = 19 | timestamp = 1701776483
prob_id = 14015 | rtt = 171.34 | hop = 13 | timestamp = 1701776480
prob_id = 14842 | rtt = 134.739 | hop = 13 | timestamp = 1701776480
prob_id = 24300 | rtt = 193.245 | hop = 16 | timestamp = 1701776479
prob_id = 24944 | rtt = 234.343 | hop = 15 | timestamp = 1701776477
prob_id = 3200 | rtt = 50.643 | hop = 14 | timestamp = 1701776480
prob_id = 32810 | rtt = 255.923 | hop = 18 | timestamp = 1701776478
prob_id = 33230 | rtt = 176.081 | hop = 10 | timestamp = 1701776487
prob_id = 33690 | rtt = 148.771 | hop = 13 | timestamp = 1701776492
prob_id = 50525 | rtt = 236.278 | hop = 11 | timestamp = 1701776488
prob_id = 50593 | rtt = 68.0 | hop = 16 | timestamp = 1701776483
prob_id = 53022 | rtt = 105.526 | hop = 17 | timestamp = 1701776488
prob_id = 53613 | rtt = 273.202 | hop = 16 | timestamp = 1701776489
prob_id = 55234 | rtt = 135.196 | hop = 17 | timestamp = 1701776488
prob_id = 60374 | rtt = 123.677 | hop = 12 | timestamp = 1701776487
prob_id = 60579 | rtt = 36.253 | hop = 13 | timestamp = 1701776480
prob_id = 60900 | rtt = 145.305 | hop = 18 | timestamp = 1701776476
prob_id = 61177 | rtt = 139.243 | hop = 9 | timestamp = 1701776481
prob_id = 62657 | rtt = 64.624 | hop = 15 | timestamp = 1701776485
prob_id = 1001577 | rtt = 267.952 | hop = 18 | timestamp = 1701780089
prob_id = 1002617 | rtt = 146.571 | hop = 14 | timestamp = 1701780079
prob_id = 1003564 | rtt = 137.363 | hop = 11 | timestamp = 1701780086
prob_id = 1003619 | rtt = 228.105 | hop = 15 | timestamp = 1701780081
prob_id = 1004568 | rtt = 234.506 | hop = 14 | timestamp = 1701780089
prob_id = 1005715 | rtt = 191.175 | hop = 16 | timestamp = 1701780079
prob_id = 1005758 | rtt = 115.034 | hop = 17 | timestamp = 1701780075
prob_id = 1006471 | rtt = 128.481 | hop = 18 | timestamp = 1701780079
prob_id = 1006691 | rtt = 150.717 | hop = 19 | timestamp = 1701780089
prob_id = 14015 | rtt = 175.774 | hop = 13 | timestamp = 1701780089
prob_id = 14842 | rtt = 134.873 | hop = 14 | timestamp = 1701780075
prob_id = 24300 | rtt = 191.318 | hop = 15 | timestamp = 1701780087
prob_id = 24944 | rtt = 234.561 | hop = 15 | timestamp = 1701780080
prob_id = 3200 | rtt = 50.12 | hop = 14 | timestamp = 1701780080
prob_id = 32810 | rtt = 254.904 | hop = 18 | timestamp = 1701780089
prob_id = 33230 | rtt = 175.391 | hop = 10 | timestamp = 1701780078
prob_id = 33690 | rtt = 148.715 | hop = 13 | timestamp = 1701780080
prob_id = 50525 | rtt = 232.773 | hop = 11 | timestamp = 1701780076
prob_id = 50593 | rtt = 68.723 | hop = 16 | timestamp = 1701780075
prob_id = 51527 | rtt = 176.543 | hop = 13 | timestamp = 1701780079
prob_id = 53022 | rtt = 105.619 | hop = 17 | timestamp = 1701780088
prob_id = 53613 | rtt = 299.607 | hop = 16 | timestamp = 1701780088
prob_id = 55234 | rtt = 135.376 | hop = 17 | timestamp = 1701780076
prob_id = 60374 | rtt = 124.071 | hop = 12 | timestamp = 1701780080
prob_id = 60579 | rtt = 37.51 | hop = 13 | timestamp = 1701780079
prob_id = 60900 | rtt = 149.686 | hop = 18 | timestamp = 1701780087
prob_id = 61177 | rtt = 138.977 | hop = 9 | timestamp = 1701780089
prob_id = 62657 | rtt = 63.617 | hop = 15 | timestamp = 1701780085
prob_id = 1001577 | rtt = 268.461 | hop = 18 | timestamp = 1701783678
prob_id = 1002617 | rtt = 147.481 | hop = 14 | timestamp = 1701783678
prob_id = 1003564 | rtt = 137.169 | hop = 13 | timestamp = 1701783678
prob_id = 1003619 | rtt = 227.475 | hop = 16 | timestamp = 1701783679
prob_id = 1004568 | rtt = 244.92 | hop = 15 | timestamp = 1701783676
prob_id = 1005715 | rtt = 352.648 | hop = 19 | timestamp = 1701783683
prob_id = 1005758 | rtt = 114.948 | hop = 18 | timestamp = 1701783683
prob_id = 1006471 | rtt = 122.31 | hop = 20 | timestamp = 1701783680
prob_id = 1006691 | rtt = 147.283 | hop = 18 | timestamp = 1701783676
prob_id = 14015 | rtt = 175.898 | hop = 14 | timestamp = 1701783684
prob_id = 14842 | rtt = 138.679 | hop = 19 | timestamp = 1701783682
prob_id = 24300 | rtt = 195.536 | hop = 16 | timestamp = 1701783689
prob_id = 24944 | rtt = 234.35 | hop = 15 | timestamp = 1701783680
prob_id = 3200 | rtt = 50.811 | hop = 13 | timestamp = 1701783674
prob_id = 32810 | rtt = 254.862 | hop = 18 | timestamp = 1701783679
prob_id = 33690 | rtt = 148.805 | hop = 13 | timestamp = 1701783681
prob_id = 50525 | rtt = 228.813 | hop = 11 | timestamp = 1701783687
prob_id = 50593 | rtt = 68.245 | hop = 16 | timestamp = 1701783688
prob_id = 51527 | rtt = 176.732 | hop = 13 | timestamp = 1701783675
prob_id = 53022 | rtt = 104.382 | hop = 17 | timestamp = 1701783683
prob_id = 53613 | rtt = 272.64 | hop = 15 | timestamp = 1701783676
prob_id = 55234 | rtt = 135.086 | hop = 16 | timestamp = 1701783682
prob_id = 60374 | rtt = 124.295 | hop = 12 | timestamp = 1701783680
prob_id = 60579 | rtt = 36.95 | hop = 14 | timestamp = 1701783675
prob_id = 60900 | rtt = 149.841 | hop = 17 | timestamp = 1701783678
prob_id = 61177 | rtt = 140.101 | hop = 9 | timestamp = 1701783687
prob_id = 62657 | rtt = 65.674 | hop = 15 | timestamp = 1701783682
prob_id = 1001577 | rtt = 271.149 | hop = 18 | timestamp = 1701787286
prob_id = 1002617 | rtt = 146.512 | hop = 14 | timestamp = 1701787275
prob_id = 1003564 | rtt = 136.958 | hop = 11 | timestamp = 1701787276
prob_id = 1003619 | rtt = 227.906 | hop = 16 | timestamp = 1701787280
prob_id = 1004568 | rtt = 241.542 | hop = 15 | timestamp = 1701787288
prob_id = 1005715 | rtt = 170.966 | hop = 16 | timestamp = 1701787283
prob_id = 1005758 | rtt = 114.963 | hop = 19 | timestamp = 1701787287
prob_id = 1006471 | rtt = 120.658 | hop = 20 | timestamp = 1701787286
prob_id = 1006691 | rtt = 153.763 | hop = 18 | timestamp = 1701787281
prob_id = 14015 | rtt = 172.797 | hop = 14 | timestamp = 1701787275
prob_id = 14842 | rtt = 139.358 | hop = 13 | timestamp = 1701787282
prob_id = 22702 | rtt = 160.561 | hop = 12 | timestamp = 1701787284
prob_id = 24300 | rtt = 191.583 | hop = 15 | timestamp = 1701787278
prob_id = 24944 | rtt = 234.198 | hop = 15 | timestamp = 1701787287
prob_id = 3200 | rtt = 50.229 | hop = 13 | timestamp = 1701787278
prob_id = 32810 | rtt = 254.858 | hop = 18 | timestamp = 1701787286
prob_id = 33230 | rtt = 175.919 | hop = 10 | timestamp = 1701787268
prob_id = 33690 | rtt = 148.079 | hop = 13 | timestamp = 1701787281
prob_id = 50525 | rtt = 233.224 | hop = 11 | timestamp = 1701787277
prob_id = 50593 | rtt = 68.221 | hop = 16 | timestamp = 1701787286
prob_id = 51527 | rtt = 176.516 | hop = 13 | timestamp = 1701787284
prob_id = 53022 | rtt = 103.772 | hop = 17 | timestamp = 1701787278
prob_id = 53613 | rtt = 278.688 | hop = 15 | timestamp = 1701787289
prob_id = 55234 | rtt = 135.191 | hop = 16 | timestamp = 1701787276
prob_id = 60374 | rtt = 123.916 | hop = 12 | timestamp = 1701787277
prob_id = 60579 | rtt = 35.955 | hop = 14 | timestamp = 1701787285
prob_id = 60900 | rtt = 145.606 | hop = 17 | timestamp = 1701787286
prob_id = 61177 | rtt = 140.437 | hop = 9 | timestamp = 1701787278
prob_id = 62657 | rtt = 63.627 | hop = 15 | timestamp = 1701787282
prob_id = 1001577 | rtt = 272.401 | hop = 18 | timestamp = 1701790879
prob_id = 1002617 | rtt = 146.599 | hop = 14 | timestamp = 1701790887
prob_id = 1003564 | rtt = 136.809 | hop = 13 | timestamp = 1701790882
prob_id = 1003619 | rtt = 221.484 | hop = 16 | timestamp = 1701790889
prob_id = 1004568 | rtt = 238.433 | hop = 15 | timestamp = 1701790884
prob_id = 1005715 | rtt = 165.026 | hop = 19 | timestamp = 1701790876
prob_id = 1005758 | rtt = 114.96 | hop = 19 | timestamp = 1701790885
prob_id = 1006471 | rtt = 119.281 | hop = 20 | timestamp = 1701790879
prob_id = 1006691 | rtt = 157.015 | hop = 18 | timestamp = 1701790875
prob_id = 14015 | rtt = 176.515 | hop = 14 | timestamp = 1701790883
prob_id = 14842 | rtt = 139.692 | hop = 14 | timestamp = 1701790876
prob_id = 22702 | rtt = 157.52 | hop = 12 | timestamp = 1701790879
prob_id = 24300 | rtt = 192.311 | hop = 16 | timestamp = 1701790883
prob_id = 24944 | rtt = 233.99 | hop = 15 | timestamp = 1701790889
prob_id = 3200 | rtt = 51.18 | hop = 13 | timestamp = 1701790879
prob_id = 32810 | rtt = 253.882 | hop = 18 | timestamp = 1701790889
prob_id = 33230 | rtt = 175.044 | hop = 11 | timestamp = 1701790880
prob_id = 33690 | rtt = 148.49 | hop = 13 | timestamp = 1701790887
prob_id = 50525 | rtt = 239.076 | hop = 11 | timestamp = 1701790885
prob_id = 50593 | rtt = 68.732 | hop = 16 | timestamp = 1701790883
prob_id = 53022 | rtt = 104.264 | hop = 17 | timestamp = 1701790878
prob_id = 53613 | rtt = 276.513 | hop = 15 | timestamp = 1701790881
prob_id = 55234 | rtt = 135.113 | hop = 16 | timestamp = 1701790878
prob_id = 60374 | rtt = 124.232 | hop = 12 | timestamp = 1701790883
prob_id = 60579 | rtt = 37.398 | hop = 14 | timestamp = 1701790881
prob_id = 60900 | rtt = 150.186 | hop = 17 | timestamp = 1701790880
prob_id = 61177 | rtt = 139.035 | hop = 9 | timestamp = 1701790876
prob_id = 62657 | rtt = 63.755 | hop = 15 | timestamp = 1701790885
prob_id = 1001577 | rtt = 268.704 | hop = 18 | timestamp = 1701794480
prob_id = 1002617 | rtt = 147.587 | hop = 14 | timestamp = 1701794475
prob_id = 1003564 | rtt = 137.159 | hop = 13 | timestamp = 1701794489
prob_id = 1003619 | rtt = 221.548 | hop = 16 | timestamp = 1701794485
prob_id = 1004568 | rtt = 232.273 | hop = 15 | timestamp = 1701794484
prob_id = 1005715 | rtt = 165.071 | hop = 16 | timestamp = 1701794485
prob_id = 1005758 | rtt = 114.957 | hop = 18 | timestamp = 1701794476
prob_id = 1006471 | rtt = 117.921 | hop = 20 | timestamp = 1701794482
prob_id = 1006691 | rtt = 146.616 | hop = 18 | timestamp = 1701794489
prob_id = 14015 | rtt = 171.672 | hop = 14 | timestamp = 1701794482
prob_id = 14842 | rtt = 139.591 | hop = 14 | timestamp = 1701794477
prob_id = 22702 | rtt = 161.087 | hop = 12 | timestamp = 1701794486
prob_id = 24300 | rtt = 191.732 | hop = 16 | timestamp = 1701794482
prob_id = 24944 | rtt = 234.04 | hop = 15 | timestamp = 1701794479
prob_id = 3200 | rtt = 50.69 | hop = 13 | timestamp = 1701794479
prob_id = 32810 | rtt = 255.902 | hop = 18 | timestamp = 1701794476
prob_id = 33230 | rtt = 179.263 | hop = 10 | timestamp = 1701794480
prob_id = 33690 | rtt = 148.467 | hop = 13 | timestamp = 1701794483
prob_id = 50525 | rtt = 228.898 | hop = 11 | timestamp = 1701794475
prob_id = 50593 | rtt = 68.341 | hop = 16 | timestamp = 1701794476
prob_id = 51527 | rtt = 176.017 | hop = 13 | timestamp = 1701794485
prob_id = 53022 | rtt = 104.998 | hop = 17 | timestamp = 1701794480
prob_id = 53613 | rtt = 296.567 | hop = 15 | timestamp = 1701794489
prob_id = 55234 | rtt = 135.161 | hop = 16 | timestamp = 1701794485
prob_id = 60374 | rtt = 123.764 | hop = 12 | timestamp = 1701794488
prob_id = 60579 | rtt = 40.771 | hop = 13 | timestamp = 1701794488
prob_id = 60900 | rtt = 150.172 | hop = 17 | timestamp = 1701794480
prob_id = 61177 | rtt = 138.076 | hop = 9 | timestamp = 1701794483
prob_id = 62657 | rtt = 62.838 | hop = 15 | timestamp = 1701794476
prob_id = 1001577 | rtt = 270.805 | hop = 18 | timestamp = 1701798078
prob_id = 1002617 | rtt = 147.726 | hop = 14 | timestamp = 1701798080
prob_id = 1003564 | rtt = 137.362 | hop = 11 | timestamp = 1701798081
prob_id = 1003619 | rtt = 221.555 | hop = 15 | timestamp = 1701798081
prob_id = 1004568 | rtt = 236.539 | hop = 14 | timestamp = 1701798075
prob_id = 1005715 | rtt = 165.044 | hop = 16 | timestamp = 1701798076
prob_id = 1005758 | rtt = 114.89 | hop = 18 | timestamp = 1701798076
prob_id = 1006471 | rtt = 119.464 | hop = 19 | timestamp = 1701798075
prob_id = 1006691 | rtt = 150.39 | hop = 19 | timestamp = 1701798089
prob_id = 14015 | rtt = 176.456 | hop = 13 | timestamp = 1701798084
prob_id = 14842 | rtt = 143.754 | hop = 17 | timestamp = 1701798087
prob_id = 22702 | rtt = 157.655 | hop = 12 | timestamp = 1701798077
prob_id = 24300 | rtt = 190.996 | hop = 15 | timestamp = 1701798079
